stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_code,platform_code,position,direction,stop_id,osm_node_id,shst_node_id,model_node_id,X,Y,drive_access,walk_access
MacArthur,,37.828415,-122.267227,MCAR,http://www.bart.gov/stations/MCAR/,0.0,,,1.0,,,,,5435,95126690,a133553057b2fe2ee79e09c95cf3c378,2571277,-122.2676852,37.8288445,1,0
Kirker Pass Rd/Clayton Rd,,37.952532,-121.957011,,,0.0,,,,,,,,6366,3221553164,db684b120fc14a49287e502516d72c45,3078370,-121.956811,37.9524145,1,0
Ygnacio Valley Rd/Civic Dr,,37.90641,-122.059575,,,0.0,,,,,,,,6041,1717347075,850cd544b4c759c8027c50b24e824cfc,3033560,-122.05933510000001,37.9065042,1,0
Ygnacio Valley Rd/Bancroft Rd,,37.920643,-122.035077,,,0.0,,,,,,,,6046,2607429029,c3603eb7a882afd0108b24a2a58565a9,3080009,-122.0353738,37.9204718,1,0
Pacheco Blvd/Hwy 4 West Entrance,,37.993496,-122.07422,,,0.0,,,,,,,,6176,57788281,4b1aa20cfce0ff73444525d7ea5d96cb,3013751,-122.07416810000001,37.9932199,1,0
Air Base Pkwy and Parker Rd,Near-Side,38.271909,-121.959499,116,,0.0,,,,542,,,,6931,62382180,64cd14198a5286747479196773ad68ab,3517595,-121.9595292,38.272154300000004,1,0
Central Way fs Ritchie Rd,,38.2146122703,-122.137399655,116,,0.0,,,,311,,,,6886,62362210,1bcf125d19a2e6f7914ee3712ff67797,3500815,-122.13774740000001,38.2142025,1,0
UC Davis Memorial Union,,38.543729,-121.749819,665,,0.0,,,,403,,,,6954,62368268,8eca82065e2bf0c0a62b1f3b600f833b,3525234,-121.7509888,38.5303485,1,0
Air Base Pkwy and Parker Rd,Far-Side,38.272218,-121.959408,116,,0.0,,,,528,,,,6970,62382180,64cd14198a5286747479196773ad68ab,3517595,-121.9595292,38.272154300000004,1,0
Golden Gate Bridge Toll Plaza,,37.807011,-122.47567,1,,,,,,40037,,,,6998,65282380,2e80079f2181299e54f65f67f7e14310,1005772,-122.47535520000001,37.8068563,1,0
Hwy 101 at Alameda Del Prado Bus Pad,,38.049103,-122.532364,4,,,,,,40773,,,,7454,345571900,b5b9c34864ca093ee5b428b448e3595b,5015684,-122.5327031,38.049144000000005,1,0
Hwy 101 Offramp at Alexander Ave,,37.835697,-122.483749,2,,,,,,41000,,,,7537,110353085,d11253532bc6a820ed6fd2b6e685e021,5016774,-122.4838799,37.8356414,1,0
Golden Gate Place & Railroad Ave,,38.113605,-122.565414,4,,,,,,41051,,,,7554,110394834,3c2ecc9c6d883387cbeb079cfdb72d99,5006340,-122.5646653,38.1136901,1,0
Lakeville Hwy & Hwy 101 Off-Ramp,,38.233749,-122.617249,5,,,,,,41187,,,,7595,55962259,5a065e0a73c2e709c923de768355d46e,4519233,-122.6177579,38.233515600000004,1,0
8th St & Brannan St,,37.771554,-122.405901,,,,,,,,,,,8521,308712276,75bff01eb81f9c7531b36d5c512d102a,1004284,-122.40608100000001,37.7713916,1,0
Bay Shore Blvd & Boutwell St,,37.73488,-122.40588,,,,,,,,,,,9007,65371828,108ec7bac33040c7cf5c7b5e52d23315,1007868,-122.40612050000001,37.73434,1,0
Paul Ave & San Bruno Ave,,37.723879,-122.401576,,,,,,,,,,,10722,612497394,0931fd8b87066ff838906997de272aa4,1017621,-122.40143830000001,37.7238966,1,0
831 Ellsworth St,,37.73327000000001,-122.41526,,,,,,,,,,,11645,764927041,9a04eb4aa3e9f5b4905f295b7933a4dd,1005888,-122.41465710000001,37.732370700000004,1,0
Gateway Dr & Skyline Dr,,37.66556,-122.48538,1,,0.0,,,,311420,,,,12064,65356927,73728f78ac58c160e125d10465f0cff8,1536620,-122.48527890000001,37.6650739,1,0
McDonnell Rd & West Area Rd,,37.62701,-122.40131,1,,0.0,,,,335606,,,,12851,293845786,1ac30e2572e8456b8845f00add7aacbe,1509749,-122.4015049,37.6269153,1,0
Shelter Creek Ln & Fire Rd 1,,37.62249,-122.428036,1,,0.0,,,,335640,,,,12877,879998378,ce6a5d56e3be06534fae5942e185d3ae,1504473,-122.4275279,37.622767,1,0
Shelter Creek Ln & Fire Rd 2,,37.621038,-122.42709,1,,0.0,,,,335641,,,,12878,65387314,4e6a61dde27d1fb333ed68decfcbdade,1516660,-122.42618080000001,37.62068,1,0
S Bayshore Blvd & 2nd Ave,,37.5729,-122.31565,1,,0.0,,,,341551,,,,13139,252686598,97ec00e669c480d050cd2f47863c69c7,1533250,-122.31556750000001,37.572597800000004,1,0
GRANT RD & GRANT AV,,37.345571949,-122.077504849,1,,,,,,60553,,,,19818,671842656,14dded1cf0d6298225272257eb55206a,2017833,-122.07755630000001,37.345314,1,0
LAWRENCE & MOORPARK,,37.310049176999996,-121.99568598200001,1,,,,,,64433,,,,19279,65673178,8c77821d60ff66bf7dd22341382c78ed,2126677,-121.99596580000001,37.3103199,1,0
LAWRENCE & PRUNERIDGE,,37.332251584,-121.995332519,1,,,,,,64594,,,,19412,667228654,dc2ab0063ad8464623e60a515f75d107,2072931,-121.9954814,37.332498900000004,1,0
LAWRENCE & PRUNERIDGE,,37.330266025,-121.995762987,1,,,,,,64604,,,,19423,667228631,2ec5e9257331fc6d72ba5548e20ff06c,2035964,-121.99568790000001,37.330287000000006,1,0
LAWRENCE & EL CAMINO,,37.351217368,-121.996817886,1,,,,,,64602,,,,19421,2860529993,40fb4b5851e309f1cae9f7cf97ee7ba4,2015434,-121.9969018,37.3515859,1,0
LAWRENCE EXPWY & KIFER,,37.374612623000004,-121.995769368,1,,,,,,64596,,,,19414,80687965,83dcab65547bc88ec3c1fbaf32be2901,2086770,-121.9958536,37.374752300000004,1,0
LAWRENCE & KIFER,,37.374823383,-121.996171754,1,,,,,,64601,,,,19420,33106555,9379238195f6faee1730d5030011a28a,2105462,-121.99609570000001,37.374721900000004,1,0
LAWRENCE & ARQUES,,37.38121729,-121.99565744200001,1,,,,,,64597,,,,19415,1993067010,5b3c1c68a550c80a6f7a9977d53822a0,2081210,-121.9957806,37.3811614,1,0
LAWRENCE & OAKMEAD,,37.38767372,-121.995647935,1,,,,,,62347,,,,17539,2185799697,8b54adffc422df4e12214b689c512368,2120795,-121.99578170000001,37.387238700000005,1,0
SAN TOMAS & WILLIAMS,,37.307999303,-121.96394227299999,1,,,,,,64618,,,,19438,2910190119,770c087bf6d3344cf6fb3df47a5dff29,2156054,-121.9638331,37.307794300000005,1,0
SAN TOMAS & WILLIAMS,,37.309449756999996,-121.96320480600001,1,,,,,,64607,,,,19426,760181899,3c6c315b9a878b4fa47067fc7483325f,2091177,-121.963204,37.309879800000004,1,0
SAN TOMAS & STEVENS CREEK,,37.323829276,-121.963906305,1,,,,,,64608,,,,19427,65445649,818a88f030493f21f1d165b19c89b41f,2166423,-121.9639915,37.323666800000005,1,0
SAN TOMAS & PRUNERIDGE,,37.330536806,-121.967382751,1,,,,,,64609,,,,19428,65445662,d4412619f8b5881154b92e0e3f76c070,2082246,-121.967516,37.3303517,1,0
SAN TOMAS & PRUNERIDGE,,37.329328542,-121.967834484,1,,,,,,64616,,,,19436,1883480101,307aa6623c3d778ae40457ed136371fe,2153112,-121.9677458,37.3292215,1,0
SAN TOMAS & HOMESTEAD,,37.341270259,-121.969695607,1,,,,,,64610,,,,19430,35854937,717fcbdbf668874b7ac0c367309170d1,2049400,-121.97009740000001,37.341356600000005,1,0
SAN TOMAS & HOMESTEAD,,37.339996209,-121.969689555,1,,,,,,64615,,,,19435,760190009,c27db31031262fa555f45d6462db29ad,2132812,-121.9695415,37.3398418,1,0
SAN TOMAS & EL CAMINO,,37.352967981999996,-121.968302756,1,,,,,,64611,,,,19431,4887414381,e915b8cd9d4057ec0eb7bc796b5e28d2,2140730,-121.9684751,37.352932,1,0
SAN TOMAS & CABRILLO,,37.35981203,-121.968395641,1,,,,,,64612,,,,19432,314145110,ac1f823aa91105175f51e67a757c5511,2046969,-121.96849590000001,37.360064900000005,1,0
SAN TOMAS & CABRILLO,,37.358230564,-121.96882598799999,1,,,,,,64613,,,,19433,665538270,b0844bdbb7c8d790ee23c93c34b2802d,2004918,-121.96850450000001,37.358400100000004,1,0
SAN TOMAS & WALSH (FS),,37.37006246,-121.965236836,1,,,,,,61926,,,,17234,668462032,8a0b156f9b2a45f84298c1e544c005ba,2134010,-121.9653763,37.3702127,1,0
SAN TOMAS & SCOTT,,37.379036754,-121.96504696299999,1,,,,,,61928,,,,17235,760190070,02e0114d9ec99f2c3413f82f70d88d88,2156944,-121.9655285,37.378852200000004,1,0
SAN TOMAS & SCOTT,,37.377807945,-121.965978971,1,,,,,,61968,,,,17267,314144388,2cae25524e164ce2dbbb2f018e984f3b,2033490,-121.9658845,37.3776024,1,0
SAN TOMAS & CAMPBELL,,37.286308610999995,-121.96091824700001,1,,,,,,64605,,,,19424,760181924,7cb94b65a4da0d7524d1df38bacc7e15,2007477,-121.9605662,37.286472800000006,1,0
SAN TOMAS & HAMILTON,,37.293553662,-121.96088717299999,1,,,,,,64619,,,,19439,760181855,92a587454f89e9b41f869354d7224e3e,2163835,-121.96081310000001,37.293376300000006,1,0
SAN TOMAS & CAMPBELL,,37.287626722,-121.96031382700001,1,,,,,,64593,,,,19411,35855220,ba9351c04f2f5d24ecd37f4ea2e954af,2006596,-121.9603847,37.2876999,1,0
CENTRAL & SCOTT,,37.374154088000004,-121.958731926,1,,,,,,62421,,,,17607,4869687411,3d609b62d97968420591b3e2f1ebe4b0,2085718,-121.9589174,37.374242100000004,1,0
CENTRAL & LAFAYETTE,,37.374500093,-121.95121481,1,,,,,,62482,,,,17649,26506775,aed62ae6499e7ef7bd82947d60238f86,2052902,-121.95100070000001,37.3744614,1,0
MONTAGUE & DE LA CRUZ,,37.392766287,-121.94811246200001,1,,,,,,64591,,,,19410,258965839,6a733d14e6e6ecc6cbe6dfbb780e72a0,2104328,-121.94768660000001,37.392635000000006,1,0
MONTAGUE & DE LA CRUZ,,37.393012,-121.946479,1,,,,,,64571,,,,19390,4236370458,da4a5c3af6512b4eec95ab9dc91d5278,2120717,-121.946667,37.3933149,1,0
MONTAGUE & 1ST,,37.396928286,-121.93671925299999,1,,,,,,64572,,,,19391,760439634,dd22a28e294c344d8bb1ebdcdfc8cee2,2026524,-121.93669360000001,37.3970697,1,0
MONTAGUE & ZANKER,,37.398771345,-121.93296023799999,1,,,,,,64590,,,,19409,759798022,c567550df276fd8eebe61c2f28be5a3d,2007818,-121.93284320000001,37.398726200000006,1,0
MONTAGUE & ZANKER,,37.399062798,-121.931064284,1,,,,,,64573,,,,19392,759791409,e5b98d3dbeb328e74850f4fe77bd3918,2097173,-121.93097890000001,37.399421000000004,1,0
MONTAGUE & MCCARTHY,,37.397717729,-121.913670431,1,,,,,,64588,,,,19406,4553631295,bd8d7d870780e11481c79abb3d60108b,2092639,-121.91341170000001,37.397883900000004,1,0
MONTAGUE & MAIN,,37.404100852,-121.902057038,1,,,,,,64576,,,,19395,1833792613,fbb120630a95168ce0461c4ddaeddc4b,2054842,-121.90229500000001,37.4041816,1,0
MONTAGUE & TRADE ZONE,,37.404347822,-121.89695100600001,1,,,,,,63926,,,,18946,35854767,1dd1c040b349863f7a529c4c19e2bd6c,2009932,-121.8972157,37.4042784,1,0
ALMADEN & BLOSSOM HILL,,37.249864148,-121.87549132299999,1,,,,,,63100,,,,18204,3884407181,d01a5446ac6d889d751f7c0a3cef662e,2011434,-121.8753375,37.2499941,1,0
ALMADEN & CHYNOWETH,,37.259726088,-121.87607871899999,1,,,,,,62999,,,,18114,369936768,9992cd2576f46934d8ef12408b940def,2106253,-121.8762157,37.259782200000004,1,0
ALMADEN & NEWBERRY,,37.272829976,-121.878769814,1,,,,,,63095,,,,18198,369938803,247f84deefc02c31c9e580405f76b08a,2015581,-121.87889310000001,37.2727686,1,0
ALMADEN & FOXWORTHY,,37.27746797,-121.88002414600001,1,,,,,,63094,,,,18197,5373809842,65d4057d58ed53aa02ac5e02377d5f26,2020297,-121.87982450000001,37.2772972,1,0
ALMADEN & CLOVERHILL,,37.225875891,-121.86747421700001,1,,,,,,60103,,,,16655,369934094,5c10eefbae93aa8d8939ec2f89f8f4f0,2113916,-121.86749590000001,37.2257796,1,0
ALMADEN & MC ABEE (FS),,37.235674144,-121.87310896700001,1,,,,,,60116,,,,16767,1071951217,4ecfb881b34992c09d558591a92f0d06,2149902,-121.87293890000001,37.2356111,1,0
ALMADEN & WINFIELD,,37.235760768,-121.872686613,1,,,,,,60105,,,,16676,369936744,56feb8f378a7c744ccae7bb8e73cdbba,2074874,-121.87273040000001,37.2356022,1,0
ALMADEN & VIA MONTE,,37.245564363,-121.874979195,1,,,,,,63101,,,,18205,4549970201,c3eaa63ca44d17111e4eef2199cac812,2030363,-121.8746335,37.245433000000006,1,0
ALMADEN & COLEMAN,,37.243139483,-121.874650749,1,,,,,,62995,,,,18110,369936755,e8a095b29bcd99980da53594e0a7a1f8,2082682,-121.8747823,37.243057400000005,1,0
ALMADEN & TRINIDAD,,37.21525843,-121.853635141,1,,,,,,60122,,,,16800,4520218020,aa351533d012899ac3a19a06c312793f,2155612,-121.8536531,37.2153651,1,0
CAPITOL & BLUEFIELD,,37.274331827,-121.85397555600001,1,,,,,,61712,,,,17123,1099259809,81a2984bb9b65d0bba147db748e8a1f9,2120227,-121.8542675,37.274449000000004,1,0
CAPITOL & COPPERFIELD,,37.274702481,-121.855284865,1,,,,,,61719,,,,17130,65636880,91e95fd447658fe819863081f2edd3ab,2054505,-121.85508820000001,37.2744431,1,0
ALMADEN & VIA VALIENTE,,37.210033103,-121.846541761,1,,,,,,60098,,,,20454,3705431564,b2113587ed27fd600f08dc064432ae13,2042655,-121.84668690000001,37.210007100000006,1,0
CAPITOL & VISTAPARK,,37.274405856,-121.848751993,1,,,,,,61713,,,,17124,4550125684,84ea92af7137eeeaae67193dc8e13c4a,2161237,-121.8487096,37.2746584,1,0
CAPITOL & SNELL,,37.276724888000004,-121.842583472,1,,,,,,61717,,,,17128,3982888065,380f2be6d44a131005fa3f4b18272e14,2117091,-121.84234380000001,37.2767779,1,0
CAPITOL & SNELL,,37.27721666,-121.841119477,1,,,,,,61714,,,,17125,3982909524,2efb572de9461f861821554ced80c322,2111871,-121.8414489,37.277145000000004,1,0
CAPITOL & SEVEN TREES,,37.282844091,-121.83448644200001,1,,,,,,64490,,,,19335,370490283,764ab1319d9116bc76f9561a5724659a,2136153,-121.8344818,37.282546800000006,1,0
CAPITOL & SEVEN TREES,,37.284337623,-121.833923465,1,,,,,,64466,,,,19314,3974566913,5a1e2b1f1798dedf7e7e4d40cd924e7f,2032820,-121.8340213,37.2844323,1,0
SNELL LIGHT RAIL STATION,,37.248137839,-121.830491205,1,,,,,,64521,,,,19365,312413173,d905674944419c8e1b438a9dc2181d60,2067348,-121.8307597,37.2475776,1,0
MONTEREY & SKYWAY (FS),,37.272968917,-121.829388494,1,,,,,,61782,,,,17160,4168044546,200babfa862ec5ae1ad4b66a12686319,2095377,-121.8292806,37.272756900000005,1,0
MONTEREY & SKYWAY,,37.271636108,-121.828124915,1,,,,,,61784,,,,17162,5392206776,66582dbbc68e21430f4a007f46c377de,2108348,-121.82870260000001,37.2721248,1,0
CAPITOL & SENTER,,37.293710548,-121.832556754,1,,,,,,63494,,,,18563,3624622284,8cf6c61adaaebef40b6d7b4df8697661,2076241,-121.8326224,37.2938191,1,0
CAPITOL & STORY,,37.351626831,-121.82708783700001,1,,,,,,63821,,,,18900,652383673,a3dee59e3e7812deaede50c17a90d417,2057153,-121.82703470000001,37.351277800000005,1,0
MONTEREY & BRANHAM,,37.2680849,-121.82247726899999,1,,,,,,61780,,,,17158,1102846202,87973b3c9380ef4e7690bd66eb507f2c,2043472,-121.8226214,37.267830700000005,1,0
MONTEREY & BRANHAM,,37.266856904,-121.821413065,1,,,,,,63414,,,,18481,1102846191,aaf7739beabb4b6505331e729cdd68b0,2041036,-121.82147130000001,37.267014800000005,1,0
CAPITOL & MCLAUGHLIN,,37.300549915,-121.820332423,1,,,,,,63495,,,,18564,3974537709,211e5c8d109a6c154ff48af238419685,2079554,-121.82055500000001,37.300520600000006,1,0
CAPITOL & OCALA,,37.339971318,-121.819758854,1,,,,,,61884,,,,17202,4883304564,eaef73208efe15087ffdd35e5c712534,2170987,-121.8198991,37.340349,1,0
MONTEREY & ROEDER,,37.260626528,-121.810379494,1,,,,,,63410,,,,18477,5042468915,6f5e0d5816d2ef0c8569dced71f6beb2,2137390,-121.8102762,37.2605251,1,0
CAPITOL & SILVER CREEK,,37.307471458,-121.810181054,1,,,,,,63497,,,,18566,3711250788,5242607b15b24159feb54d2bc8ad0dc2,2013136,-121.8105795,37.307515,1,0
CAPITOL & NIEMAN,,37.317211996,-121.80821113200001,1,,,,,,61231,,,,16806,1106989978,fe44b012f47c43ca11f79366db718529,2115594,-121.80784030000001,37.316484100000004,1,0
MONTEREY & BLOSSOM HILL,,37.25636575,-121.80386077,1,,,,,,65392,,,,19760,447596434,acb7d13c70652106149fff424255549c,2118794,-121.80343230000001,37.256403,1,0
CAPITOL & ABORN,,37.312293634,-121.807676843,1,,,,,,61262,,,,16840,1081555950,8d3898ab5ca8ff9fd804a10b8ef5c916,2162140,-121.8078346,37.3120763,1,0
CAPITOL & NIEMAN,,37.316979985,-121.807761555,1,,,,,,61263,,,,16841,1106989978,fe44b012f47c43ca11f79366db718529,2115594,-121.80784030000001,37.316484100000004,1,0
MONTEREY & BERNAL,,37.239511613000005,-121.775246879,1,,,,,,63698,,,,18773,65648587,7b97f4bc12934adfe2c99a3d9887b654,2074762,-121.774771,37.239109500000005,1,0
COCHRANE & BUTTERFIELD,,37.146816803,-121.661857877,1,,,,,,60223,,,,17422,3190827672,60f02406fb74ca3d2e68fa00dc4da0d6,2141563,-121.6610763,37.1474169,1,0
MONTEREY & WATSONVILLE,,37.107455,-121.635062,1,,,,,,63448,,,,18518,3317802449,2191ea7c4fa7df773a34439359438ad2,2128794,-121.6354105,37.107704600000005,1,0
Solano Avenue & Waverly Street,,38.31,-122.305833333333,,,,,,,,,,,20605,287034583,acc617ff8db6204f311285e3f21d8a1c,4006264,-122.30555980000001,38.3099903,1,0
Auto Mall Pkwy:Fremont Blvd,,37.512109,-121.950037,,,,,,,52543,,,,1006,1068399369,2703190ac9dd70de2791b93075ad5e16,2593480,-121.95037260000001,37.512108000000005,1,0
Auto Mall Pkwy:Technology Dr,,37.511324,-121.95487,,,,,,,57045,,,,1010,350562021,3312a13c739970457196816bf87fa12e,2510862,-121.95488250000001,37.511231900000006,1,0
Hegenberger Rd:Airport Dr,,37.730172,-122.199724,,,,,,,54335,,,,2940,679017497,ce80e9e0a08b69038dd3df00646433b8,2594816,-122.2000043,37.7301598,1,0
MacArthur Blvd:#345,,37.813202,-122.251178,,,,,,,58863,,,,3088,728248190,a3d66d2815240e653b7de478d5bf6052,2508400,-122.25078400000001,37.813153400000004,1,0
Foothill Blvd:Fairmont Hospital South Entrance,,37.706218,-122.117547,,,,,,,59980,,,,4878,242905873,203c8db398540a55df4dd6e791c6618a,2561142,-122.11772880000001,37.7058261,1,0
